shared name,IDs,cor,cor_pval,r2,r2_pval
70,483.378 2087 1 (ID: 1057),-0.1946896419,0.5047894179,0.0379040567,0.5047894179
71,483.380 1940 1 (ID: 1066),-0.1988750491,0.4954896770,0.0395512852,0.4954896770
72,497.288 1375 1 (ID: 288),0.3374212016,0.2380763260,0.1138530673,0.2380763260
73,501.340 1465 1 (ID: 162),-0.3422631134,0.2309802627,0.1171440388,0.2309802627
74,503.275 1684 1 (ID: 189),-0.2526127717,0.3835767154,0.0638132124,0.3835767154
75,503.275 1415 1 (ID: 584),0.1151804559,0.6949883010,0.0132665374,0.6949883010
76,503.275 1556 1 (ID: 1046),-0.2147191602,0.4610210960,0.0461043177,0.4610210960
77,505.291 1779 1 (ID: 1056),-0.2196836060,0.4504669365,0.0482608867,0.4504669365
78,505.291 1651 1 (ID: 1053),-0.2773284739,0.3370882896,0.0769110825,0.3370882896
79,519.269 1374 1 (ID: 27),0.1071739491,0.7153548907,0.0114862554,0.7153548907
80,519.269 1594 1 (ID: 1039),-0.2128968587,0.4649250633,0.0453250724,0.4649250633
81,521.273 1188 1 (ID: 192),-0.0561341312,0.8488381788,0.0031510407,0.8488381788
82,531.310 1559 1 (ID: 578),0.1778621298,0.5429653638,0.0316349372,0.5429653638
83,537.249 1181 1 (ID: 56),-0.0589976883,0.8412140572,0.0034807272,0.8412140572
84,537.250 1346 1 (ID: 1121),-0.1339265105,0.6480642637,0.0179363102,0.6480642637
85,541.314 1404 1 (ID: 257),-0.0519316051,0.8600493649,0.0026968916,0.8600493649
86,545.363 1432 1 (ID: 349),-0.3208294225,0.2633938557,0.1029315183,0.2633938557
87,547.288 1043 1 (ID: 385),-0.1264812368,0.6665670209,0.0159975032,0.6665670209
88,553.243 950 1 (ID: 445),-0.0637432913,0.8286077824,0.0040632072,0.8286077824
89,553.243 1143 1 (ID: 95),-0.1278224836,0.6632203940,0.0163385873,0.6632203940
90,553.243 883 1 (ID: 269),0.1288930975,0.6605532196,0.0166134306,0.6605532196
91,555.309 1898 1 (ID: 1060),-0.2194846330,0.4508876406,0.0481735041,0.4508876406
92,559.131 1809 1 (ID: 612),-0.2174099837,0.4552857148,0.0472671010,0.4552857148
93,561.280 1566 1 (ID: 446),-0.0914120486,0.7559566701,0.0083561626,0.7559566701
94,563.296 1291 1 (ID: 164),0.9075546687,0.0000073650,0.8236554766,0.0000073650
95,563.296 1406 1 (ID: 28),-0.0377140529,0.8981484877,0.0014223498,0.8981484877
96,567.332 1609 1 (ID: 68),-0.0291072134,0.9213170119,0.0008472299,0.9213170119
97,569.345 1706 1 (ID: 248),-0.0812518040,0.7824498879,0.0066018556,0.7824498879
98,571.254 944 1 (ID: 280),-0.0621936204,0.8327202762,0.0038680464,0.8327202762
99,571.255 559 1 (ID: 626),0.9056335110,0.0000082969,0.8201720563,0.0000082969
100,571.301 1719 1 (ID: 50),0.6352064565,0.0146493699,0.4034872424,0.0146493699
101,571.301 1482 1 (ID: 525),0.5116127778,0.0614800771,0.2617476344,0.0614800771
102,573.319 1598 1 (ID: 583),0.2045534555,0.4830010798,0.0418421162,0.4830010798
103,573.319 1808 1 (ID: 531),0.4730850317,0.0875414696,0.2238094472,0.0875414696
104,575.284 1094 1 (ID: 389),-0.1172268336,0.6898127501,0.0137421305,0.6898127501
105,575.295 1480 1 (ID: 530),0.1158785413,0.6932213528,0.0134278363,0.6932213528
106,577.265 730 1 (ID: 18),-0.0131248920,0.9644807058,0.0001722628,0.9644807058
107,577.265 644 1 (ID: 652),-0.0755659476,0.7973741286,0.0057102124,0.7973741286
108,577.265 998 1 (ID: 194),0.9192333882,0.0000033613,0.8449900220,0.0000033613
109,577.297 1627 1 (ID: 880),-0.1754199587,0.5486073830,0.0307721619,0.5486073830
110,577.297 1548 1 (ID: 921),-0.1600931990,0.5845759785,0.0256298324,0.5845759785
111,577.795 1549 1 (ID: 858),-0.1596384493,0.5856575313,0.0254844345,0.5856575313
112,581.274 1139 1 (ID: 158),-0.1037641477,0.7240832019,0.0107669983,0.7240832019
113,587.249 904 1 (ID: 598),0.1149359443,0.6956075338,0.0132102713,0.6956075338
114,589.311 1607 1 (ID: 10),-0.0006814774,0.9981552208,0.0000004644,0.9981552208
115,589.311 1520 1 (ID: 22),0.8733971435,0.0000450108,0.7628225703,0.0000450108
116,589.391 1410 1 (ID: 1030),-0.3393937057,0.2351695874,0.1151880875,0.2351695874
117,590.317 1607 1 (ID: 170),0.0300855913,0.9186800929,0.0009051428,0.9186800929
118,591.326 1707 1 (ID: 152),-0.0859961284,0.7700497819,0.0073953341,0.7700497819
119,591.326 1854 1 (ID: 1088),-0.1854975776,0.5254896379,0.0344093513,0.5254896379
120,591.326 1626 1 (ID: 142),0.9117805881,0.0000056147,0.8313438408,0.0000056147
121,595.252 1142 1 (ID: 72),-0.1347732701,0.6459715954,0.0181638343,0.6459715954
122,595.252 742 1 (ID: 487),-0.0521838569,0.8593757141,0.0027231549,0.8593757141
123,595.256 1290 1 (ID: 1098),-0.0653354179,0.8243868671,0.0042687168,0.8243868671
124,595.290 1290 1 (ID: 58),-0.0603455947,0.8376297360,0.0036415908,0.8376297360
