row ID,row m/z,row retention time,Extract.mzXML Peak area,F_5.mzXML Peak area,F_6.mzXML Peak area,F_7.mzXML Peak area,F_8.mzXML Peak area,F_9.mzXML Peak area,F_10.mzXML Peak area,F_11.mzXML Peak area,F_12.mzXML Peak area,F_13.mzXML Peak area,F_14.mzXML Peak area,F_15.mzXML Peak area,F_16.mzXML Peak area,F_17.mzXML Peak area
65,465.37,1944,3626345.547,0,14143796.23,4050229.723,87208972.75,893334.4199,0,0,0,0,0,0,0,0
66,466.186,1442,1547333.051,0,0,0,0,0,0,0,0,0,0,0,75720.5,100403211.5
67,467.387,2205,427717.1973,0,57577337.38,0,126208.5313,0,0,22690.23828,0,0,0,0,0,0
68,481.293,1687,30288493.79,0,1003306135,22729508.21,3388771.379,1138406.408,1999614.135,6796444.795,1062269.309,216031.4063,390378.5781,1445368.193,1499220.049,497555.4199
69,481.365,1906,1841258.082,9833843.496,253123336.8,91084962.72,62408234.25,33726.97656,0,27392.0625,0,0,0,0,0,0
70,483.378,2087,0,0,26441464.13,0,817875.1953,0,0,0,0,0,0,0,0,0
71,483.38,1940,0,0,55912753.75,308063.2383,1285807.566,0,0,0,0,0,0,0,0,0
72,497.288,1375,9981208.188,0,11107691.06,64896.28516,29680.41406,0,0,0,117398488.1,41991417,0,724145.4688,529808.4551,210465.4902
73,501.34,1465,30069343.94,47950739.56,27592416.84,24115195.7,21634664.17,15300830.22,16271551.92,21240491.44,19642173.69,19523594.38,19656648.06,18902670.97,31652839,13887328.41
74,503.275,1684,85651695,0,1254942882,77298593.08,12246946.55,5170097.168,2059506.113,3728515.16,4953169.691,1702929.084,3406648.477,6159945.619,6529393.063,3260553.824
75,503.275,1415,10413361.51,0,0,0,24121.51953,0,1535054.289,5372800.063,172757558.6,1601031.682,754550.1875,998751.0391,463287.4063,177399.918
76,503.275,1556,21325645.67,0,51375759.75,96565278.63,2422748.773,387827.0781,60571.94336,30052.16406,177999.6328,0,205128.7266,503894.502,308163.2227,99237.00781
77,505.291,1779,10848746.91,660550.6641,423401774.8,11822296.35,1804493.135,255217.2695,130437.2305,506326.9902,479867.6035,36097.26172,178949.5273,643279.9297,758136.8125,116678.4375
78,505.291,1651,2966726.203,0,83687835.88,10960496.27,198115.8965,0,0,33176.59766,0,0,0,0,0,0
79,519.269,1374,35463406.88,0,72590875.75,1066816.719,556517.7988,0,0,821766.5215,167255361.8,80132045,805376.3691,1816012.771,1061647.824,2025185.852
80,519.269,1594,0,0,84969332.88,1156801.539,2319681.051,0,0,0,0,0,0,0,0,0
81,521.273,1188,55319231.63,0,0,24712.58984,0,946297807.6,7282247.52,3686603.438,1352082.977,782398.0742,1988095.918,3409502.967,2103326.35,1506048.766
82,531.31,1559,2726955.66,0,0,0,0,0,0,0,33438468.25,2255530.477,0,41294.23438,0,0
83,537.249,1181,204133408.4,0,0,21912.49609,0,2827619805,139136662.9,17105951.35,9737722.756,3296375.902,7158801.225,13396947.5,12428992.36,5361321.076
84,537.25,1346,9339833.383,0,0,0,9082193.887,185284193.9,1443130.535,491359.1719,421125.8418,24228.08594,82293.12109,385716.5078,202670.2324,0
85,541.314,1404,28908876.16,0,0,0,0,0,2723224.625,396902917.9,58336908.63,6704514.672,1191353.199,2691026.004,1302121.816,1649521.258
86,545.363,1432,19410130.47,63118153,28007800.72,23769143.38,20441970.04,14061496.16,16585786.96,24226810.61,22925033.04,22148454.77,22239104.38,22706584.28,32816163,16119924.71
87,547.288,1043,9615935.492,0,0,0,0,4548988.773,60923929.56,6027596.246,1704374.195,28168.51172,0,0,27796.64063,31124.74609
88,553.243,950,11535497.39,0,0,0,0,0,267982.6484,234680770.5,24462380.19,2527958.84,444130.627,605731.6406,596139.4746,0
89,553.243,1143,49096826.38,0,0,0,0,6702712.967,209327622.8,336178254.9,4900299.672,976059.9102,1117825.551,2243925.91,564623.3828,902365.0195
90,553.243,883,9517861.078,0,0,0,0,0,1868411.016,45376109.25,107725061.9,8512789.609,556559.9766,1122871.525,739672.582,53716.64453
91,555.309,1898,3314982.031,0,27820959.19,997317.3164,0,0,0,0,0,0,0,30700.70703,0,0
92,559.131,1809,4245269.629,2005040.047,12899519.19,8176447.922,590101.8809,8653359.75,16386900.5,503162.168,3698593.359,22111019.5,10013276.88,143932.8828,9117802.063,10501511.81
